Id,Label,Type,Occurrences Count,ID (type 1),Time Interval,Investments
company_c3a85269b0cf4508f2c74649ab638600,tyco electronics,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 3]>","<[2009.0, 2010.0, 448 | 450); [2010.0, 2011.0, 449]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>",
company_9d89a845e22841aea6025436b7c1e521,tyco international,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 5]>","<[2008.0, 2009.0, 451); [2009.0, 2010.0, 452 | 453 | 454); [2010.0, 2011.0, 455]>","<[2008.0, 2009.0]; [2009.0, 2010.0]; [2010.0, 2011.0]>",
company_735d8243f170eb95a0d73d459f442f60,ubi banca,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 456]>","<[2009.0, 2010.0]>",
company_76b4ad4a08f2bfce316ad6d4b1f9765c,ubm group,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 3]>","<[2009.0, 2010.0, 457 | 458 | 459]>","<[2009.0, 2010.0]>",
company_a51fe3d58d97650115803090779d17f5,ubs,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 461]>","<[2010.0, 2011.0]>",
company_3543252f280f82856d415ada2718946a,unibanco unịo de bancos brasileiros,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 462]>","<[2009.0, 2010.0]>",
company_5ee0b473cfe354a425295c197ebf7c4e,unibra,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 529]>","<[2009.0, 2010.0]>",
company_6d6c75103db3ea822631ae97fe8f4974,unicorn investment bank (now bank alkhair b.s.c.),"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 463]>","<[2009.0, 2010.0]>",
company_64613dddb176a9233a8077c3ad056c46,unicredit,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0, 464 | 465]>","<[2009.0, 2010.0]>",
company_0453b4e36abca40fc0541f3585773acb,union bancaire priv̩e (ubp),"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2007.0, 2008.0, 581]>","<[2007.0, 2008.0]>",
